user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
Vị thuốc hồ đào có tính gì?,"['[{""ChuThe"": ""Vị thuốc Hồ đào"", ""QuanHe"": ""CO_TINH"", ""DoiTuong"": ""Ôn"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}]']","Dựa trên y văn, **Hồ đào** có tính ôn.",Ôn,1.0,0.6220774934938486,0.9999999999,1.0,0.6871898507555683
"Để chữa bệnh sâu răng, vị thuốc ban miêu được dùng với liều lượng và cách thức như thế nào?","['[{""ChuThe"": ""Vị thuốc Ban miêu"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Sâu răng"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Đảm phàn"", ""GhiChu"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""sort_weight"": 3.0}]']","Để chữa bệnh sâu răng, theo y văn, **Ban miêu** được dùng như sau:

*   **Liều dùng và cách dùng:** Tham khảo liều dùng chung của vị thuốc, đảm phàn.
*   **Lưu ý:** Đây là chỉ định lâm sàng theo kinh nghiệm.","Để chữa bệnh sâu răng, vị thuốc ban miêu có liều dùng: Tham khảo liều dùng chung của vị thuốc và cách dùng: Đảm phàn",1.0,0.5425573890101151,0.9999999999,1.0,0.8414490963959201
Thuốc nào vừa có tính ôn vừa trực tiếp chữa bệnh trúng độc?,"['[{""ChuThe"": ""Vị thuốc Bạch biển đậu"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Trúng độc"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Tía tô"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Bệnh Trúng độc"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Xạ hương"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Ôn và Kinh Trừ Trung Độc"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}]']",Hệ thống y văn hiện tại chưa ghi nhận dữ liệu về vấn đề này.,"Bạch biển đậu, Tía tô",0.0,0.0,0.9999999999,1.0,0.23743975377180976
Bệnh sái đầu có thể dùng vị thuốc hoặc bài thuốc nào để chữa?,"['[{""ChuThe"": ""Bệnh Sái đầu"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Rau dừa nước"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Giã nát với dầu thầu dầu, xát lên đầu"", ""GhiChu"": ""teigne, bệnh da đầu. CT_VT_VN_T274"", ""sort_weight"": 3.0}, {""ChuThe"": ""Bệnh Sái đầu"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Củ ấu"", ""LieuDung"": ""$10-16g$"", ""CachDung"": ""Dưới dạng thuốc sắc"", ""GhiChu"": ""Toàn cây củ ấu"", ""sort_weight"": 3.0}]']","Để chữa bệnh sái đầu, bạn có thể tham khảo các vị thuốc sau:

*   **Vị thuốc Rau dừa nước:** Giã nát với dầu thầu dầu, xát lên đầu. Tham khảo liều dùng chung của vị thuốc.
*   **Vị thuốc Củ ấu:** Dùng 10-16g dưới dạng thuốc sắc.","Củ ấu, Rau dừa nước",0.75,0.4277159629181805,,1.0,0.707751413081513
Thuốc nào vừa có tính bình vừa trực tiếp chữa bệnh hoàng đản?,"['[{""ChuThe"": ""Vị thuốc Bán"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Bình và Bệnh Hoàng đản"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Bán"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Bình và Bệnh Thấp nhiệt hoàng đản"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Ngũ bội tử"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Bình và Bệnh Hoàng đản"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}]']","Hệ thống y văn hiện tại ghi nhận một số vị thuốc có tính bình và được dùng cho bệnh hoàng đản như sau:

*   **Vị thuốc Bán** được dùng cho bệnh Hoàng đản và Thấp nhiệt hoàng đản.
*   **Vị thuốc Ngũ bội tử** được dùng cho bệnh Hoàng đản.

Lưu ý: Liều dùng và cách dùng của các vị thuốc trên chưa được ghi nhận trong dữ liệu hiện tại.","Bán, Ngũ bội tử",1.0,0.41000742596655343,0.9999999999,1.0,0.5335231620818273
Thuốc nào vừa có tính hàn vừa trực tiếp chữa bệnh sốt nóng?,"['[{""ChuThe"": ""Vị thuốc Cỏ tranh"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Hàn và Triệu chứng Sốt nóng"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Kim ngân"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Hàn và Triệu chứng Sốt nóng"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}]']","Hệ thống y văn hiện tại ghi nhận các vị thuốc có tính hàn và có thể dùng cho triệu chứng sốt nóng như sau:

**Thông tin tham khảo thêm:**

*   **Vị thuốc Cỏ tranh**: Thỏa mãn đồng thời tính hàn và triệu chứng sốt nóng.
*   **Vị thuốc Kim ngân**: Thỏa mãn đồng thời tính hàn và triệu chứng sốt nóng.

Lưu ý: Liều dùng và cách dùng của các vị thuốc trên chưa được ghi nhận trong dữ liệu hiện tại.","Cỏ tranh, Kim ngân, Qua lâu nhân, Tiền hồ, Tê giác",1.0,0.5470850588161678,0.9999999999,0.4,0.7139880314628059
Bệnh viêm da tiếp xúc có thể dùng vị thuốc hoặc bài thuốc nào để chữa?,"['[{""ChuThe"": ""Bệnh Viêm da tiếp xúc"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Sài đất"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""CT_VT_VN_T102"", ""sort_weight"": 3.0}]']","Bệnh viêm da tiếp xúc có thể được chữa bằng vị thuốc **Sài đất**. Về liều dùng và cách dùng, bạn nên tham khảo liều dùng chung của vị thuốc và chỉ định lâm sàng theo kinh nghiệm.",Sài đất,1.0,0.47748452707017863,0.9999999999,1.0,0.5712092788649421
Thuốc nào vừa có tính hàn vừa trực tiếp chữa bệnh bán thân bất toại?,"['[{""ChuThe"": ""Vị thuốc Hy thiêm"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Hàn và Bệnh Bán thân bất toại"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Giun đất"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Hàn và Bệnh Bán thân bất toại"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Thạch sùng"", ""QuanHe"": ""Thỏa mãn đồng thời"", ""DoiTuong"": ""Hàn và Bệnh Bán thân bất toại"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}]']",Hệ thống y văn hiện tại chưa ghi nhận dữ liệu về vấn đề này.,"Giun đất, Hy thiêm, Thạch sùng",0.0,0.0,0.9999999999,1.0,0.23432680113702004
Bệnh đại tiện khó khăn có thể dùng vị thuốc hoặc bài thuốc nào để chữa?,"['[{""ChuThe"": ""Bệnh Đại tiện khó khăn"", ""QuanHe"": ""Được chữa bằng (BaiThuoc)"", ""DoiTuong"": ""Bài thuốc Đại tiện khó khăn (Tri thức)"", ""LieuDung"": ""Mỗi ngày uống 10 viên vào buổi tối, trước khi đi ngủ"", ""CachDung"": ""Hai vị tán nhỏ, làm thành viên bằng hạt ngô"", ""GhiChu"": ""[Nguồn]: CT_VT_VN_T380"", ""sort_weight"": 3.0}]']","Dựa trên y văn, đối với bệnh đại tiện khó khăn, bạn có thể tham khảo bài thuốc sau:

*   **Bài thuốc Đại tiện khó khăn (Tri thức)**: Hai vị tán nhỏ, làm thành viên bằng hạt ngô. Mỗi ngày uống 10 viên vào buổi tối, trước khi đi ngủ.
    [Nguồn]: CT_VT_VN_T380",Đại tiện khó khăn (Tri thức),1.0,0.5252607969445192,0.9999999999,1.0,0.2115368365109667
Vị thuốc chua me đất hoa vàng có công năng gì?,"['[{""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_VI"", ""DoiTuong"": ""Vị chua"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_TINH"", ""DoiTuong"": ""Hàn"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """"}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_CHUA_HOAT_CHAT"", ""DoiTuong"": ""Hoạt chất Axit Ox Alic"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""trong lá và thân chua me""}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_CHUA_HOAT_CHAT"", ""DoiTuong"": ""Hoạt chất Oxalat Axit Kali"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": ""trong lá và thân chua me""}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Sốt"", ""LieuDung"": ""$30-50g$"", ""CachDung"": ""Sắc uống"", ""GhiChu"": ""Toàn cây sao vàng""}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Viêm niệu đạo"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""Toàn cây chua me""}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Scorbut"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""Toàn cây chua me""}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Lỵ"", ""LieuDung"": ""$30-50g$"", ""CachDung"": ""Sắc uống"", ""GhiChu"": ""Toàn cây sao vàng""}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Thông tiểu tiện"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng theo kinh nghiệm"", ""GhiChu"": ""Toàn cây chua me"", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Giải khát"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Sát trùng"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}, {""ChuThe"": ""Vị thuốc Chua me đất hoa vàng"", ""QuanHe"": ""CO_CONG_NANG"", ""DoiTuong"": ""Công năng Thanh nhiệt"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}]']","Vị thuốc **Chua me đất hoa vàng** có các công năng sau:

*   Thông tiểu tiện (Liều dùng: Tham khảo liều dùng chung của vị thuốc. Cách dùng: Chỉ định lâm sàng theo kinh nghiệm. Ghi chú: Toàn cây chua me)
*   Giải khát (Liều dùng: Chưa ghi nhận. Cách dùng: Chưa ghi nhận)
*   Sát trùng (Liều dùng: Chưa ghi nhận. Cách dùng: Chưa ghi nhận)
*   Thanh nhiệt (Liều dùng: Chưa ghi nhận. Cách dùng: Chưa ghi nhận)","Giải khát, Sát trùng, Thanh nhiệt, Thông tiểu tiện",1.0,0.5828580606471964,0.9999999999,1.0,0.8805581491703168
Vị thuốc tê giác có hoạt chất canxi photphat không?,['Không có dữ liệu'],"Không. Dựa trên dữ liệu y văn hiện tại, không có ghi nhận nào cho thấy tê giác có liên quan hoặc tác dụng tới canxi photphat.","Có, vị thuốc tê giác có hoạt chất canxi photphat",0.0,0.7289293863932531,0.0,0.0,0.24309329546394884
"Để chữa bệnh phụ nữ sau sinh, vị thuốc phụ nữ sau sinh chổi xuể được dùng với liều lượng và cách thức như thế nào?","['[{""ChuThe"": ""Bài thuốc Phụ nữ sau sinh Chổi xuể"", ""QuanHe"": ""CHU_TRI_BENH"", ""DoiTuong"": ""Bệnh Phụ nữ sau sinh"", ""LieuDung"": ""$6-8g$"", ""CachDung"": ""Sắc uống"", ""GhiChu"": ""CT_VT_VN_T661"", ""sort_weight"": 3.0}]']","Để chữa bệnh phụ nữ sau sinh, **Phụ nữ sau sinh Chổi xuể** được dùng với liều lượng và cách thức như sau:

*   Liều dùng: 6-8g
*   Cách dùng: Sắc uống","Để chữa bệnh phụ nữ sau sinh, vị thuốc phụ nữ sau sinh chổi xuể có liều dùng: 6-8g và cách dùng: Sắc uống",1.0,0.581608108751595,0.9999999999,1.0,0.9959424183184513
Vị thuốc tỳ giải có chứa hoạt chất geraniola không?,['Không có dữ liệu'],"Không. Dựa trên dữ liệu y văn hiện tại, không có ghi nhận nào cho thấy tỳ giải có liên quan hoặc tác dụng tới geraniola.","Không, vị thuốc tỳ giải không chứa hoạt chất geraniola",0.0,0.8508842079339689,0.0,1.0,0.8421584055321802
Vị thuốc kê nội kim tham gia vào bài thuốc để chữa những bệnh gì?,"['[{""ChuThe"": ""Vị thuốc Kê nội kim"", ""QuanHe"": ""Tham gia bài thuốc [Bài thuốc Viêm gan truyền nhiễm dành dành] để chữa"", ""DoiTuong"": ""Bệnh Viêm gan truyền nhiễm"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}]']","Dựa trên y văn, **Kê nội kim** tham gia vào bài thuốc **Viêm gan truyền nhiễm dành dành** để chữa bệnh Viêm gan truyền nhiễm. Liều dùng và cách dùng của vị thuốc này trong bài thuốc chưa được ghi nhận.",Viêm gan truyền nhiễm,1.0,0.6111276851440772,0.9999999999,1.0,0.8334198343236765
Bệnh suy tim có thể dùng vị thuốc hoặc bài thuốc nào để chữa?,"['[{""ChuThe"": ""Bệnh Phù suy tim"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Bòn bọt"", ""LieuDung"": ""Lá khô $100g$"", ""CachDung"": ""Sắc với $900ml$ nước, cô còn lại $300ml$. Ngày dùng trung bình $100ml$ nước sắc tương đương với hơn $30g$ lá khô"", ""GhiChu"": """"}, {""ChuThe"": ""Bệnh Tim suy nhược"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Thông thiên"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Dùng trong những trường hợp trên. Có thể dùng cho những trường hợp không chịu thuốc digitalin và uabain hoặc luân phiên với digitalin và uabain"", ""GhiChu"": ""Tevetin | Chỉ định lâm sàng: Dùng trong những trường hợp trên. Có thể dùng cho những trường hợp không chịu thuốc digitalin và uabain hoặc luân phiên với digitalin và uabain | [Nguồn]: CT_VT_VN_T602""}, {""ChuThe"": ""Bệnh Suy tim"", ""QuanHe"": ""Được chữa bằng (ViThuoc)"", ""DoiTuong"": ""Vị thuốc Trúc đào"", ""LieuDung"": ""Tham khảo liều dùng chung của vị thuốc"", ""CachDung"": ""Chỉ định lâm sàng"", ""GhiChu"": ""CT_VT_VN_T605"", ""sort_weight"": 3.0}]']","Dựa trên y văn, đối với bệnh suy tim, bạn có thể tham khảo vị thuốc sau:

*   **Trúc đào**: Tham khảo liều dùng chung của vị thuốc và chỉ định lâm sàng.

Thông tin tham khảo thêm:

*   Đối với bệnh phù suy tim, có thể dùng vị thuốc **Bòn bọt**: Lá khô 100g sắc với 900ml nước, cô còn lại 300ml. Ngày dùng trung bình 100ml nước sắc tương đương với hơn 30g lá khô.
*   Đối với bệnh tim suy nhược, có thể dùng vị thuốc **Thông thiên**: Tham khảo liều dùng chung của vị thuốc. Dùng trong những trường hợp trên. Có thể dùng cho những trường hợp không chịu thuốc digitalin và uabain hoặc luân phiên với digitalin và uabain.",Trúc đào,1.0,0.4143548159696136,0.9999999999,1.0,0.31085113667980513
Vị thuốc cà độc dược có vị vị cay không?,"['[{""ChuThe"": ""Vị thuốc Cà độc dược"", ""QuanHe"": ""Xác nhận: CO_VI"", ""DoiTuong"": ""Vị cay"", ""LieuDung"": ""Chưa ghi nhận"", ""CachDung"": ""Chưa ghi nhận"", ""GhiChu"": """", ""sort_weight"": 3.0}]']","Dựa trên y văn, vị thuốc **Cà độc dược** được xác nhận là có vị cay.","Có, vị thuốc cà độc dược có vị vị cay",1.0,0.6322269899997908,0.9999999999,1.0,0.9895249559737616
